typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8350","false","-1","N/A",,"false","8350","false",,"false",,"41273","41273","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4984","false","8","kg","4984","false","4984","false","0","false","154216.297",,"154216.297","0","false","true",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1649","false","-1","N/A",,"false","1649","false",,"false","44429",,"44429","0","true","false",
"C","A","20140101","2014","52","2014","51","ARM","Armenia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","880","false","-1","N/A",,"false","880","false",,"false","13589",,"13589","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","292.025","0","292.025","0","false","true",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.95","false","8","kg","3.95","false","4","false","0","false","154.758",,"154.758","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8425","false","8","kg","8425","false","8425","false","0","false","59151","56271","59151","0","false","true",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","M","Import","36","AUS","Australia","0","W00","World","H2","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","195789.306",,"195789.306","0","false","true",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2326","false","-1","N/A",,"false","2326","false",,"false","44149",,"44149","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2037","false","-1","N/A",,"false","2037","false",,"false","51742",,"51742","0","true","false",
"C","A","20140101","2014","52","2014","124","CAN","Canada","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","130587","true","-1","N/A",,"false","130587","true",,"false",,"684022","684022","6","true","false",
"C","A","20140101","2014","52","2014","144","LKA","Sri Lanka","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11396","false","-1","N/A",,"false","11396","false",,"false","92028",,"92028","0","true","false",
"C","A","20140101","2014","52","2014","152","CHL","Chile","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16.308","false","8","kg","16.308","false","16.308","false","0","false","520.59","68.5","520.59","0","false","true",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1944631","false","-1","N/A",,"false","1944631","false",,"false","6445938",,"6445938","0","true","false",
"C","A","20140101","2014","52","2014","191","HRV","Croatia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17","false","-1","N/A",,"false","17","false",,"false","1644",,"1644","0","true","false",
"C","A","20140101","2014","52","2014","218","ECU","Ecuador","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34663","false","-1","N/A",,"false","34663","false",,"false","316968",,"316968","0","true","false",
"C","A","20140101","2014","52","2014","231","ETH","Ethiopia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","400","false","8","kg","400","false","400","false","0","false","1796.806",,"1796.806","0","false","true",
"C","A","20140101","2014","52","2014","242","FJI","Fiji","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27227","false","-1","N/A",,"false","27227","false",,"false","294807",,"294807","0","true","false",
"C","A","20140101","2014","52","2014","246","FIN","Finland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9","false","-1","N/A",,"false","9","false",,"false","53",,"53","0","true","false",
"C","A","20140101","2014","52","2014","251","FRA","France","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","260","true","-1","N/A",,"false","260","true",,"false","4398",,"4398","6","true","false",
"C","A","20140101","2014","52","2014","258","PYF","French Polynesia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32242","false","-1","N/A",,"false","32242","false",,"false","327555",,"327555","0","true","false",
"C","A","20140101","2014","52","2014","266","GAB","Gabon","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","8","kg","8","false","8","false","0","false","833.959",,"833.959","0","false","true",
"C","A","20140101","2014","52","2014","276","DEU","Germany","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","5069","false","8","kg","5069","false","5069","false",,"false","85635.848",,"85635.848","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3504.53","false","8","kg","3504.53","false","3504.53","false","0","false","52040.49",,"52040.49","0","false","true",
"C","A","20140101","2014","52","2014","296","KIR","Kiribati","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","59.7","false","8","kg","59.7","false","59.7","false",,"false","599.29","534.305","599.29","0","false","true",
"C","A","20140101","2014","52","2014","300","GRC","Greece","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3050","false","-1","N/A",,"false","3050","false",,"false","13170",,"13170","0","true","false",
"C","A","20140101","2014","52","2014","324","GIN","Guinea","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","303","false","-1","N/A",,"false","303","false",,"false","2443",,"2443","0","true","false",
"C","A","20140101","2014","52","2014","344","HKG","China, Hong Kong SAR","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","127015","false","-1","N/A",,"false","127015","false",,"false","908605",,"908605","0","true","false",
"C","A","20140101","2014","52","2014","352","ISL","Iceland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","47",,"47","0","true","false",
