name,longitude,latitude,city,state
& Gallery Australia,144.7420938,-38.3447273,Sorrento,VIC
16albermarle,151.1801893,-33.8961132,Newtown,NSW
19Karen Contemporary Artspace,153.4365469,-28.048387,Mermaid Beach,QLD
314 Abercrombie Gallery,151.1932156,-33.890862,Darlington,NSW
4A Centre for Contemporary Asian Art,151.2082848,-33.8698439,Sydney,NSW
8 Hele,133.8812885,-23.6983884,Alice Springs,NT
8 Wall Gallery,151.2272766,-33.8841572,Paddington,NSW
@14 Gallery,144.9881387,-37.802104,Collingwood,VIC
Aarwun Gallery,149.0964814,-35.1871606,Nicholls,ACT
Above and Below Gallery,148.7181466,-20.272494,Airlie Beach,QLD
ACAE Gallery,144.9863042,-37.8060945,Collingwood,VIC
Adelaide Central Gallery,138.6337521,-34.9427375,Glenside,SA
Adelaide Contemporary Experimental,138.5999312,-34.9281805,Adelaide,SA
Adelaide Town Hall Gallery,138.5999312,-34.9281805,Adelaide,SA
Alcaston Gallery,144.9631732,-37.8142454,Melbourne,VIC
Alta Forma,144.9631732,-37.8142454,Melbourne,VIC
Anna Schwartz Gallery,144.9631732,-37.8142454,Melbourne,VIC
Annandale Galleries,151.1709976,-33.881224,Annandale,NSW
Annette Larkin Fine Art,151.2272766,-33.8841572,Paddington,NSW
Antoinette Ferwerda Gallery,145.0163663,-37.9171728,Brighton East,VIC
ANU Drill Hall Gallery,149.1129681,-35.2852323,Acton,ACT
ANU School of Art & Design Gallery,149.1129681,-35.2852323,Acton,ACT
"Araluen Arts Centre, Mparntwe",133.8520548,-23.6970695,Araluen,NT
Ararat Gallery TAMA,142.9321971,-37.2830939,Ararat,VIC
ARC ONE Gallery,144.9631732,-37.8142454,Melbourne,VIC
ART ARK,147.1373496,-41.4340813,Launceston,TAS
Art by Farquhar,138.5694275,-34.9802157,Edwardstown,SA
Art Collective WA,115.8615536,-31.9553745,Art Collective,WA
Art Gallery of Ballarat,143.8584034,-37.5604517,North Ballarat,VIC
