typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","77692","false","-1","N/A",,"false","77692","false",,"false",,"92441","92441","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73000","false","8","kg","73000","false","73000","false","0","false","107417.133","0","107417.133","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1920","false","8","kg","1920","false","1920","false","0","false","9711","8808","9711","0","false","true",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","79","false","-1","N/A",,"false","79","false",,"false","872",,"872","0","true","false",
"C","A","20140101","2014","52","2014","104","MMR","Myanmar","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","88","false","8","kg","88","false","88","false","0","false","372.32",,"372.32","0","false","true",
"C","A","20140101","2014","52","2014","116","KHM","Cambodia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","774284","false","-1","N/A",,"false","774284","false",,"false","316817",,"316817","0","true","false",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","M","Import","36","AUS","Australia","0","W00","World","H2","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","1879.818",,"1879.818","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","-1","N/A",,"false","5","false",,"false",,"9084","9084","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38","false","-1","N/A",,"false","38","false",,"false","196",,"196","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","228","false","8","kg","228","false","228","false","0","false","13546.609","0","13546.609","0","true","false",
