name,longitude,latitude,city,state
Cessnock Performing Arts Centre,151.3554,-32.8395,Hunter Valley,
Middleback Theatre,137.5414,-33.031,Whyalla,
The Star Gold Coast,153.4278,-28.0318,Gold Coast,
The Art House,151.4239,-33.2811,Wyong,
Gippsland Performing Arts Centre,146.5359,-38.1941,Traralgon,
Chandler Theatre,153.1495,-27.5095,Brisbane,
The Motley Bauhaus,144.9708,-37.7973,Melbourne,
Brunswick Picture House,153.5491,-28.5406,Brunswick Heads,NSW
Ron Hurley Theatre,153.0735,-27.4775,Brisbane,
Empire Theatres,151.9553,-27.563,Toowoomba,
Garden of Unearthly Delights,138.6138,-34.9273,Adelaide,
Ulumbarra Theatre,144.2793,-36.7544,Bendigo,
Gasworks Creative Precinct - Gasworks Theatre,144.9471,-37.8426,Melbourne,
Elder Hall,138.6042,-34.9207,Adelaide,
Kalamunda Performing Arts Centre,116.0569,-31.9766,Perth,
Newcastle City Hall,151.7723,-32.9278,Newcastle,
Moncrieff Theatre,152.3473,-24.8661,Bundaberg,
Queensland Performing Arts Centre (QPAC),153.0192,-27.4742,Brisbane,
Hopgood Theatre,138.4971,-35.1388,Adelaide,
Cowra Civic Centre,148.6939,-33.834,Cowra,
Chaffey Theatre,140.7422,-34.1706,Renmark,
Paranaple Arts Centre,146.3603,-41.1772,Devonport,
His Majesty's Theatre,115.8546,-31.9528,Perth,
"Dolphin Theatre, UWA",115.8198,-31.9786,Perth,WA
Civic Theatre Newcastle,151.7721,-32.927,Newcastle,
Armitage Centre,151.9554,-27.5627,Toowoomba,
Downstairs at the Maj,115.8546,-31.9528,Perth,
Octagon Theatre - UWA,115.8188,-31.9801,Perth,
Slide,151.2135,-33.8778,Sydney,
Melbourne Convention and Exhibition Centre,144.9493,-37.825,Melbourne,
Altona Theatre,144.8294,-37.8645,Melbourne,
Aurora Spiegeltent,138.6135,-34.9211,Adelaide,
The Capital Theatre,144.2764,-36.7572,Bendigo,
Rochdale Theatre,153.3235,-28.8176,Goonellabah,
The Pavilion Performing Arts Centre,151.0596,-34.0314,Sydney,
The Events Centre,153.1307,-26.8027,Sunshine Coast,
Stirling Theatre,115.7926,-31.8904,Perth,
Laycock Street Theatre,151.3491,-33.4102,North Gosford,
Fogarty Park,145.7784,-16.9283,Cairns,
"Dendy Cinemas, Portside Hamilton",153.0705,-27.4402,Brisbane,
Northern Festival Centre,138.0073,-33.1784,Port Pirie,
Holden Street Theatres,138.5677,-34.9092,Adelaide,
Harbour Theatre,115.7635,-32.0095,Perth,
Anita's Theatre,150.9228,-34.3144,Wollongong,
Crossing Theatre,149.7807,-30.3237,Narrabri,
Griffith Regional Theatre,146.0351,-34.2866,Griffith,
The Annandale Hotel,151.1707,-33.8876,Sydney,
The Concourse,151.1845,-33.7958,Sydney,
Sutherland Memorial School Of Arts,151.0566,-34.0319,Sydney,
Chambers Crescent Theatre,130.9033,-12.3962,Darwin,
Pinocchi's Palace,146.8193,-19.2631,Townsville,
Townsville Civic Theatre,146.81,-19.2722,Townsville,
The Seven Hills Hub,153.0735,-27.4775,Brisbane,
Ad Astra Theatre,153.0325,-27.4534,Brisbane,
Brisbane Powerhouse,153.0533,-27.4682,Brisbane,
St Luke's Theatre Society,153.0189,-27.5175,Brisbane,
Federation Concert Hall,147.3241,-42.8884,Hobart,
Bluestone Theatre,144.4498,-37.2464,Kyneton,
The Prince Of Wales Bandroom,144.9741,-37.8619,Melbourne,
Malvern Community Arts Centre,145.0481,-37.8749,Melbourne,
Northcote Theatre,144.9986,-37.7738,Melbourne,
State Theatre Centre of Western Australia,115.8592,-31.9494,Perth,
Illawarra Performing Arts Centre,150.8998,-34.4269,Wollongong,
Sydney Opera House,151.2148,-33.8574,Sydney,
Darling Harbour Theatre at ICC Sydney,151.1987,-33.8741,Sydney,
