"Year ","$ billion ","Change (%)"
"1999","3.81","N/A"
"2000","4.06","6.6"
"2001","4.45","9.6"
"2002","4.68","5.2"
"2003","4.93","5.3"
"2004","5.00","1.4"
"2005","5.01","0.2"
"2006","5.47","9.2"
"2007","5.61","2.6"
"2008","6.09","8.6"
"2009","6.38","4.8"
"2010","6.60","3.4"
"2011","6.64","0.6"
"2012","6.98","5.1"
"2013","7.05","1.0"
"2014","7.08","0.4"
"2015","7.10","0.3"
"2016","7.06","-0.6"
"2017","7.31","3.5"
"2018","8.07","10.4"
"2019","8.20","1.6"
"2020","8.40","2.4"
"2021","8.91","6.1"
"2022","9.50","6.6"
"2023","9.89","4.1"
"2024","10.19","3.0"
"2025","10.53","3.3"
"2026","10.77","2.3"
"2027","10.79","0.2"
"2028","11.45","6.1"
"2029","12.05","5.2"
"2030","12.22","1.4"
"2031","12.58","2.9"
"2032","12.91","2.6"
