category,country,iso3,value_usd
"Clay, stone & tools",Angola,AGO,835.16
"Clay, stone & tools",Austria,AUT,39127.73
"Clay, stone & tools",Azerbaijan,AZE,1880.0
"Clay, stone & tools",Bahrain,BHR,157595.42
"Clay, stone & tools",Bangladesh,BGD,4092.86
"Clay, stone & tools",Belgium,BEL,123400.15
"Clay, stone & tools",Bhutan,BTN,56.85
"Clay, stone & tools",Bolivia (Plurinational State of),BOL,1616.0
"Clay, stone & tools",Bosnia Herzegovina,BIH,5878.04
"Clay, stone & tools",Botswana,BWA,394.28
"Clay, stone & tools",Brazil,BRA,232996.0
"Clay, stone & tools",Brunei Darussalam,BRN,4193.46
"Clay, stone & tools",Burkina Faso,BFA,11402.23
"Clay, stone & tools",Burundi,BDI,542.58
"Clay, stone & tools",Cambodia,KHM,1600355.92
"Clay, stone & tools",Canada,CAN,210252.21
"Clay, stone & tools",Chile,CHL,1681.34
"Clay, stone & tools",China,CHN,4869905.0
"Clay, stone & tools","China, Hong Kong SAR",HKG,343810.42
"Clay, stone & tools","China, Macao SAR",MAC,20489.45
"Clay, stone & tools",Croatia,HRV,252.0
"Clay, stone & tools",Cyprus,CYP,16.64
"Clay, stone & tools",Czechia,CZE,1453305.0
"Clay, stone & tools",Côte d'Ivoire,CIV,26808.98
"Clay, stone & tools",Dem. Rep. of the Congo,COD,676.91
"Clay, stone & tools",Denmark,DNK,16251.25
"Clay, stone & tools",Ecuador,ECU,119349.6
"Clay, stone & tools",Egypt,EGY,20164.78
"Clay, stone & tools",Estonia,EST,363.62
"Clay, stone & tools",Eswatini,SWZ,72.93
"Clay, stone & tools",Fiji,FJI,513925.53
"Clay, stone & tools",Finland,FIN,5831.61
"Clay, stone & tools",France,FRA,68102.51
"Clay, stone & tools",French Polynesia,PYF,16944.33
"Clay, stone & tools",Gabon,GAB,328.0
"Clay, stone & tools",Germany,DEU,108251.2
"Clay, stone & tools",Ghana,GHA,38299.2
"Clay, stone & tools",Greece,GRC,3545.11
"Clay, stone & tools",Guatemala,GTM,2372.0
"Clay, stone & tools",Guyana,GUY,15289.92
"Clay, stone & tools",Honduras,HND,5136.14
"Clay, stone & tools",Hungary,HUN,221.0
"Clay, stone & tools",Iceland,ISL,274.32
"Clay, stone & tools",India,IND,1057937.98
"Clay, stone & tools",Indonesia,IDN,5060035.8
"Clay, stone & tools",Iran,IRN,3537.22
"Clay, stone & tools",Ireland,IRL,15472.24
"Clay, stone & tools",Israel,ISR,1000.0
"Clay, stone & tools",Italy,ITA,22009937.31
"Clay, stone & tools",Japan,JPN,1263722.18
"Clay, stone & tools",Kazakhstan,KAZ,1562.42
"Clay, stone & tools",Kenya,KEN,2329.94
"Clay, stone & tools",Kiribati,KIR,6588.18
"Clay, stone & tools",Kuwait,KWT,7042.0
"Clay, stone & tools",Lao People's Dem. Rep.,LAO,454640.58
"Clay, stone & tools",Lithuania,LTU,815.0
"Clay, stone & tools",Luxembourg,LUX,1798.77
"Clay, stone & tools",Madagascar,MDG,192.31
"Clay, stone & tools",Malawi,MWI,43.24
"Clay, stone & tools",Malaysia,MYS,6458199.25
"Clay, stone & tools",Maldives,MDV,5339.36
"Clay, stone & tools",Mali,MLI,14487.44
"Clay, stone & tools",Malta,MLT,589.03
"Clay, stone & tools",Mauritius,MUS,15183.05
"Clay, stone & tools",Mexico,MEX,11095.0
"Clay, stone & tools",Mongolia,MNG,23754.84
"Clay, stone & tools",Montenegro,MNE,18.99
"Clay, stone & tools",Mozambique,MOZ,695.04
"Clay, stone & tools",Myanmar,MMR,1922.29
"Clay, stone & tools",Namibia,NAM,117.17
"Clay, stone & tools",Netherlands,NLD,114849.87
"Clay, stone & tools",New Caledonia,NCL,1740199.0
"Clay, stone & tools",New Zealand,NZL,9910334.18
"Clay, stone & tools",Norway,NOR,41631.93
"Clay, stone & tools",Oman,OMN,1264777.52
"Clay, stone & tools","Other Asia, nes",S19,3420442.34
"Clay, stone & tools",Pakistan,PAK,1417164.47
"Clay, stone & tools",Papua New Guinea,PNG,1213535.18
"Clay, stone & tools",Peru,PER,86.99
"Clay, stone & tools",Philippines,PHL,826705.46
"Clay, stone & tools",Poland,POL,12718.0
"Clay, stone & tools",Portugal,PRT,1719.82
"Clay, stone & tools",Qatar,QAT,177499.52
"Clay, stone & tools",Rep. of Korea,KOR,6017602.0
"Clay, stone & tools",Romania,ROU,2250.47
"Clay, stone & tools",Russian Federation,RUS,22144.35
"Clay, stone & tools",Samoa,WSM,28479.65
"Clay, stone & tools",Saudi Arabia,SAU,621657.05
"Clay, stone & tools",Senegal,SEN,5773.94
"Clay, stone & tools",Serbia,SRB,15.0
"Clay, stone & tools",Seychelles,SYC,793.51
"Clay, stone & tools",Singapore,SGP,2924291.86
"Clay, stone & tools",Slovakia,SVK,339791.16
"Clay, stone & tools",Slovenia,SVN,91.56
"Clay, stone & tools",Solomon Isds,SLB,47246.92
"Clay, stone & tools",South Africa,ZAF,751218.4
"Clay, stone & tools",Spain,ESP,74251.27
"Clay, stone & tools",Sri Lanka,LKA,1918.25
"Clay, stone & tools",Sudan,SDN,2278.0
"Clay, stone & tools",Sweden,SWE,3935.34
"Clay, stone & tools",Switzerland,CHE,33584.08
"Clay, stone & tools",Thailand,THA,10935675.54
"Clay, stone & tools",Timor-Leste,TLS,36126.48
"Clay, stone & tools",Tonga,TON,10907.79
"Clay, stone & tools",Trinidad and Tobago,TTO,33.89
"Clay, stone & tools",Türkiye,TUR,51875.0
"Clay, stone & tools",USA,USA,413580.0
"Clay, stone & tools",Uganda,UGA,17897.19
"Clay, stone & tools",United Arab Emirates,ARE,153337.76
"Clay, stone & tools",United Kingdom,GBR,397346.21
"Clay, stone & tools",United Rep. of Tanzania,TZA,46752.15
"Clay, stone & tools",Uruguay,URY,29.1
"Clay, stone & tools",Viet Nam,VNM,5707155.05
"Clay, stone & tools",Zambia,ZMB,90487.51
"Clay, stone & tools",Zimbabwe,ZWE,165.84
Drawing supplies,Angola,AGO,105.97
Drawing supplies,Armenia,ARM,15.5
Drawing supplies,Austria,AUT,6936.12
Drawing supplies,Azerbaijan,AZE,317.52
Drawing supplies,Bahamas,BHS,3.0
Drawing supplies,Bahrain,BHR,6215.44
Drawing supplies,Bangladesh,BGD,1996.37
Drawing supplies,Belgium,BEL,9070.72
Drawing supplies,Bhutan,BTN,111.44
Drawing supplies,Bolivia (Plurinational State of),BOL,3262.09
Drawing supplies,Bosnia Herzegovina,BIH,51.6
Drawing supplies,Botswana,BWA,8385.88
Drawing supplies,Brazil,BRA,772.0
Drawing supplies,Brunei Darussalam,BRN,4902.42
Drawing supplies,Bulgaria,BGR,12.16
Drawing supplies,Burkina Faso,BFA,6496.3
Drawing supplies,Cambodia,KHM,7616.95
Drawing supplies,Canada,CAN,24030.54
Drawing supplies,Chile,CHL,1729.66
Drawing supplies,China,CHN,84347.0
Drawing supplies,"China, Hong Kong SAR",HKG,184571.47
Drawing supplies,"China, Macao SAR",MAC,45.42
Drawing supplies,Colombia,COL,122.03
Drawing supplies,Costa Rica,CRI,237.17
Drawing supplies,Croatia,HRV,12.0
Drawing supplies,Cuba,CUB,210.68
Drawing supplies,Cyprus,CYP,2567.8
Drawing supplies,Czechia,CZE,2281.0
Drawing supplies,Côte d'Ivoire,CIV,25654.96
Drawing supplies,Dem. Rep. of the Congo,COD,946.61
Drawing supplies,Denmark,DNK,1005.39
Drawing supplies,Dominican Rep.,DOM,3337.84
Drawing supplies,Ecuador,ECU,13.51
Drawing supplies,Egypt,EGY,86.9
Drawing supplies,El Salvador,SLV,1994.91
Drawing supplies,Estonia,EST,7871.07
Drawing supplies,Ethiopia,ETH,5531.47
Drawing supplies,Fiji,FJI,494165.3
