state,institution,year,faculty,enrolments
Australian Capital Territory,Non-University Higher Education Providers,2020,Information Technology,115
Australian Capital Territory,Non-University Higher Education Providers,2020,Health,1792
Australian Capital Territory,Non-University Higher Education Providers,2021,Information Technology,116
Australian Capital Territory,Non-University Higher Education Providers,2021,Health,1803
Australian Capital Territory,Non-University Higher Education Providers,2022,Information Technology,96
Australian Capital Territory,Non-University Higher Education Providers,2022,Health,1487
Australian Capital Territory,Non-University Higher Education Providers,2023,Information Technology,77
Australian Capital Territory,Non-University Higher Education Providers,2023,Health,1201
Australian Capital Territory,Non-University Higher Education Providers,2024,Information Technology,77
Australian Capital Territory,Non-University Higher Education Providers,2024,Health,1196
Australian Capital Territory,The Australian National University,2020,Natural and Physical Sciences,3930
Australian Capital Territory,The Australian National University,2020,Information Technology,1957
Australian Capital Territory,The Australian National University,2020,Engineering and Related Technologies,1451
Australian Capital Territory,The Australian National University,2020,"Agriculture, Environmental and Related Studies",544
Australian Capital Territory,The Australian National University,2020,Health,858
Australian Capital Territory,The Australian National University,2020,Management and Commerce,6065
Australian Capital Territory,The Australian National University,2020,Society and Culture,11181
Australian Capital Territory,The Australian National University,2020,Creative Arts,487
Australian Capital Territory,The Australian National University,2020,Non-Award Courses,67
Australian Capital Territory,The Australian National University,2021,Natural and Physical Sciences,3984
Australian Capital Territory,The Australian National University,2021,Information Technology,1985
Australian Capital Territory,The Australian National University,2021,Engineering and Related Technologies,1472
Australian Capital Territory,The Australian National University,2021,"Agriculture, Environmental and Related Studies",552
Australian Capital Territory,The Australian National University,2021,Health,870
Australian Capital Territory,The Australian National University,2021,Management and Commerce,6150
Australian Capital Territory,The Australian National University,2021,Society and Culture,11337
Australian Capital Territory,The Australian National University,2021,Creative Arts,494
Australian Capital Territory,The Australian National University,2021,Non-Award Courses,68
Australian Capital Territory,The Australian National University,2022,Natural and Physical Sciences,3914
Australian Capital Territory,The Australian National University,2022,Information Technology,1950
Australian Capital Territory,The Australian National University,2022,Engineering and Related Technologies,1446
Australian Capital Territory,The Australian National University,2022,"Agriculture, Environmental and Related Studies",542
Australian Capital Territory,The Australian National University,2022,Health,855
Australian Capital Territory,The Australian National University,2022,Management and Commerce,6042
Australian Capital Territory,The Australian National University,2022,Society and Culture,11138
Australian Capital Territory,The Australian National University,2022,Creative Arts,485
Australian Capital Territory,The Australian National University,2022,Non-Award Courses,67
